Date,Adjusted Returns
10/4/2015,-0.001966853
13/4/2015,-0.00433585
14/4/2015,0.003800436
15/4/2015,-0.004811457
16/4/2015,-0.011254715
17/4/2015,0.022845739
20/4/2015,-0.005407595
21/4/2015,0.01347419
22/4/2015,0.008163602
23/4/2015,0.004704031
24/4/2015,0.018191731
27/4/2015,-0.015755488
28/4/2015,-0.014705992
29/4/2015,-0.027129933
30/4/2015,0.030363426
1/5/2015,-0.001938702
4/5/2015,-0.022533097
5/5/2015,-0.006279815
6/5/2015,0.006185375
7/5/2015,0.018840715
8/5/2015,-0.010186525
11/5/2015,-0.003562361
12/5/2015,0.001112369
13/5/2015,0.023331416
14/5/2015,-0.001395895
15/5/2015,0.011027348
18/5/2015,-0.000921681
19/5/2015,-7.70E-05
20/5/2015,0.010226141
21/5/2015,0.008752596
22/5/2015,-0.022031261
26/5/2015,0.018670099
27/5/2015,-0.001969157
28/5/2015,-0.011382719
29/5/2015,0.001995817
1/6/2015,-0.004443055
2/6/2015,0.001231138
3/6/2015,-0.005840608
4/6/2015,-0.005488655
5/6/2015,-0.006607011
8/6/2015,-0.002973539
9/6/2015,0.011458322
10/6/2015,-0.002250262
11/6/2015,-0.011042727
12/6/2015,-0.00196589
15/6/2015,0.005357679
16/6/2015,-0.002351179
17/6/2015,0.004556323
18/6/2015,-0.010009343
19/6/2015,0.007977809
22/6/2015,-0.004545128
23/6/2015,0.008501935
24/6/2015,-0.004761553
25/6/2015,-0.005882414
26/6/2015,-0.017514795
29/6/2015,0.007227443
30/6/2015,0.009327825
1/7/2015,-0.001263872
2/7/2015,-0.003479976
6/7/2015,-0.002460382
7/7/2015,-0.024822921
8/7/2015,-0.020396447
9/7/2015,0.02673431
10/7/2015,0.019305767
13/7/2015,-0.000397904
14/7/2015,0.009632929
15/7/2015,0.013326008
16/7/2015,0.008637206
17/7/2015,0.018901725
20/7/2015,-0.009994747
21/7/2015,-0.042294312
22/7/2015,-0.000479332
23/7/2015,-0.005273275
24/7/2015,-0.013895581
27/7/2015,0.0049686
28/7/2015,-0.003160897
29/7/2015,-0.005041062
30/7/2015,-0.008744068
31/7/2015,-0.023577653
3/8/2015,-0.032084012
4/8/2015,0.006629563
5/8/2015,0.002176107
6/8/2015,0.003387481
7/8/2015,0.036357305
10/8/2015,-0.052037995
11/8/2015,0.015419852
12/8/2015,-0.000780955
13/8/2015,0.007034261
14/8/2015,0.010348434
17/8/2015,-0.005633411
18/8/2015,-0.012789688
19/8/2015,-0.020519867
20/8/2015,-0.06116287
21/8/2015,-0.024962402
24/8/2015,0.006012641
25/8/2015,0.057354944
26/8/2015,0.029446592
27/8/2015,0.003276649
28/8/2015,-0.004678274
31/8/2015,-0.044696695
1/9/2015,0.042888947
2/9/2015,-0.017536172
3/9/2015,-0.009966536
4/9/2015,0.027821161
8/9/2015,-0.019232493
9/9/2015,0.021970058
10/9/2015,0.01456864
11/9/2015,0.009631363
14/9/2015,0.008412226
15/9/2015,0.001117993
16/9/2015,-0.021389966
17/9/2015,-0.004125677
18/9/2015,0.015513365
21/9/2015,-0.0157104
22/9/2015,0.008112896
23/9/2015,0.005948321
24/9/2015,-0.002521902
25/9/2015,-0.019789109
28/9/2015,-0.030060403
29/9/2015,0.011369957
30/9/2015,-0.006527711
1/10/2015,0.007300707
2/10/2015,0.003623781
5/10/2015,0.004784128
6/10/2015,-0.004761349
7/10/2015,-0.011554363
8/10/2015,0.02392685
9/10/2015,-0.004637906
12/10/2015,0.001702695
13/10/2015,-0.014133757
14/10/2015,0.014971506
15/10/2015,-0.007330631
16/10/2015,0.006213938
19/10/2015,0.018258241
20/10/2015,-8.80E-05
21/10/2015,0.015295561
22/10/2015,0.030995557
23/10/2015,-0.031911398
26/10/2015,-0.006332184
27/10/2015,0.041204456
28/10/2015,0.010564405
29/10/2015,-0.008545538
30/10/2015,0.014058399
2/11/2015,0.01147074
3/11/2015,-0.004650433
4/11/2015,-0.004609891
5/11/2015,0.001157698
6/11/2015,-0.004047403
9/11/2015,-0.031517083
10/11/2015,-0.005652166
11/11/2015,-0.003358891
12/11/2015,-0.029208377
13/11/2015,0.016378878
16/11/2015,-0.004291561
17/11/2015,0.031665299
18/11/2015,0.012703251
19/11/2015,0.004378036
20/11/2015,-0.012992502
23/11/2015,0.00959661
24/11/2015,-0.007150136
25/11/2015,-0.001863873
27/11/2015,0.004159265
30/11/2015,-0.008114965
1/12/2015,-0.009033591
2/12/2015,-0.009287923
3/12/2015,0.033246481
4/12/2015,-0.006300849
7/12/2015,-0.000422798
8/12/2015,-0.022075614
9/12/2015,0.004756985
10/12/2015,-0.025738223
11/12/2015,-0.006184882
14/12/2015,-0.017691952
15/12/2015,0.007692924
16/12/2015,-0.02119621
17/12/2015,-0.027069103
18/12/2015,0.01226053
21/12/2015,-0.000931647
22/12/2015,0.012869423
23/12/2015,-0.005340035
24/12/2015,-0.011200637
28/12/2015,0.01797409
29/12/2015,-0.01305852
30/12/2015,-0.019195051
31/12/2015,0.000855061
4/1/2016,-0.025059432
5/1/2016,-0.01956978
6/1/2016,-0.042204329
7/1/2016,0.005287714
8/1/2016,0.016192019
11/1/2016,0.014513403
12/1/2016,-0.025710089
13/1/2016,0.021870604
14/1/2016,-0.024015089
15/1/2016,-0.004838937
19/1/2016,0.001344985
20/1/2016,-0.005062625
21/1/2016,0.053167316
22/1/2016,-0.019522696
25/1/2016,0.005530839
26/1/2016,-0.065706726
27/1/2016,0.007172013
28/1/2016,0.034541192
29/1/2016,-0.009348343
1/2/2016,-0.020222137
2/2/2016,0.019792549
3/2/2016,0.008035083
4/2/2016,-0.026708082
5/2/2016,0.010529856
8/2/2016,-0.000210617
9/2/2016,-0.00757979
10/2/2016,-0.006046414
11/2/2016,0.003094963
12/2/2016,0.028194663
16/2/2016,0.01531444
17/2/2016,-0.018956342
18/2/2016,-0.002285556
19/2/2016,0.008746364
22/2/2016,-0.022605349
23/2/2016,0.014890825
24/2/2016,0.006867821
25/2/2016,0.001550144
26/2/2016,-0.002270139
29/2/2016,0.039714692
1/3/2016,0.002188309
2/3/2016,0.007444155
3/3/2016,0.014876681
4/3/2016,-0.011066647
7/3/2016,-0.008245894
8/3/2016,0.000891002
9/3/2016,0.000494271
10/3/2016,0.010773973
11/3/2016,0.002542657
14/3/2016,0.020093572
15/3/2016,0.013291283
16/3/2016,-0.001604252
17/3/2016,0.001134032
18/3/2016,-9.42E-05
21/3/2016,0.007647973
22/3/2016,-0.005528543
23/3/2016,-0.004334383
24/3/2016,-0.004542321
28/3/2016,0.023671436
29/3/2016,0.017459046
30/3/2016,-0.005202443
31/3/2016,0.009175013
1/4/2016,0.010273804
4/4/2016,-0.011789368
5/4/2016,0.0104728
6/4/2016,-0.021809582
7/4/2016,0.001105551
8/4/2016,0.003312844
11/4/2016,0.013025485
12/4/2016,0.014487513
13/4/2016,0.00053529
14/4/2016,-0.020071199
15/4/2016,-0.021574968
18/4/2016,-0.00530327
19/4/2016,0.002057798
20/4/2016,-0.010827912
21/4/2016,-0.002736685
22/4/2016,-0.005677441
25/4/2016,-0.006947285
26/4/2016,-0.062577803
27/4/2016,-0.030566136
28/4/2016,-0.011494359
29/4/2016,-0.001066809
2/5/2016,0.016445982
3/5/2016,-0.010401345
4/5/2016,-0.004059058
5/5/2016,-0.00557686
6/5/2016,0.000755049
9/5/2016,0.006789157
10/5/2016,-0.009740615
11/5/2016,-0.023457056
12/5/2016,0.00199243
13/5/2016,0.037119039
16/5/2016,-0.004154469
17/5/2016,0.011445188
18/5/2016,-0.00380727
19/5/2016,0.010828141
20/5/2016,0.012707377
23/5/2016,0.015244193
24/5/2016,0.017569139
25/5/2016,0.007930219
26/5/2016,-0.00059783
27/5/2016,-0.004882954
31/5/2016,-0.014019522
1/6/2016,-0.007515585
2/6/2016,0.002046634
3/6/2016,0.007250681
6/6/2016,0.004055588
7/6/2016,-0.000908918
8/6/2016,0.007176188
9/6/2016,-0.00822879
10/6/2016,-0.015076378
13/6/2016,0.001232701
14/6/2016,-0.003283203
15/6/2016,0.00422062
16/6/2016,-0.022757589
17/6/2016,-0.002412706
20/6/2016,0.008517284
21/6/2016,-0.003753351
22/6/2016,0.005756159
23/6/2016,-0.028095764
24/6/2016,-0.014561061
27/6/2016,0.016840541
28/6/2016,0.008654871
29/6/2016,0.01271178
30/6/2016,0.003033373
1/7/2016,-0.009385707
5/7/2016,0.005684765
6/7/2016,0.004291928
7/7/2016,0.007712992
8/7/2016,0.003103063
11/7/2016,0.004537066
12/7/2016,-0.005645658
13/7/2016,0.019820366
14/7/2016,-0.000101107
15/7/2016,0.010629619
18/7/2016,0.000400711
19/7/2016,0.000901031
20/7/2016,-0.005301954
21/7/2016,-0.007744217
22/7/2016,-0.013379273
25/7/2016,-0.006883182
26/7/2016,0.06496329
27/7/2016,0.013501628
28/7/2016,-0.001245902
29/7/2016,0.017656759
1/8/2016,-0.014804231
2/8/2016,0.012538235
3/8/2016,0.006177587
4/8/2016,0.015207245
5/8/2016,0.008280642
8/8/2016,0.00405997
9/8/2016,-0.007443939
10/8/2016,-0.000648282
11/8/2016,0.002316366
12/8/2016,0.012017027
15/8/2016,-0.000913495
16/8/2016,-0.001462738
17/8/2016,-0.001281708
18/8/2016,0.002566783
19/8/2016,-0.007772434
22/8/2016,0.003133283
23/8/2016,-0.007533211
24/8/2016,-0.004258219
25/8/2016,-0.005856726
26/8/2016,-0.001122114
29/8/2016,-0.007676147
30/8/2016,0.00094319
31/8/2016,0.00593787
1/9/2016,0.009369326
2/9/2016,-0.000278437
6/9/2016,0.006128172
